MST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew
PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min
Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea
Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min
VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust
SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2014-1-1,4,-2,-8,-1,-4,-9,100,74,48,1030,1022,1011,16,10,0,39,11,48,1.02,6,Fog-Snow,30
2014-1-2,9,0,-9,-6,-9,-13,77,50,22,1029,1024,1016,16,16,16,24,13,32,0.00,2,,162
2014-1-3,16,8,-1,-8,-9,-13,47,30,13,1015,1006,1001,16,16,16,27,14,34,0.00,2,,206
2014-1-4,4,-6,-17,-4,-9,-17,92,68,44,1024,1014,1003,16,5,0,29,18,42,2.54,8,Fog-Snow,33
2014-1-5,-10,-15,-20,-16,-17,-22,88,73,58,1036,1026,1018,16,7,1,32,13,39,0.51,7,Fog-Snow,21
2014-1-6,3,-8,-20,-9,-15,-23,75,57,38,1033,1028,1021,16,16,8,29,14,35,0.00,1,,177
2014-1-7,6,2,-2,-5,-8,-11,63,48,33,1021,1017,1013,16,16,16,34,14,39,0.00,5,,214
2014-1-8,3,-2,-8,-6,-8,-10,84,66,48,1021,1019,1016,16,16,16,23,10,27,0.00,6,,166
2014-1-9,8,1,-7,-8,-10,-12,77,51,25,1015,1010,1005,16,16,16,39,10,53,0.00,4,,165
2014-1-10,4,0,-4,-8,-13,-18,63,45,27,1013,1008,1005,16,16,16,58,24,77,0.00,3,,305
2014-1-11,13,4,-5,-5,-7,-11,60,44,28,1017,1011,1002,16,16,16,42,13,56,0.00,5,,211
2014-1-12,8,2,-4,-4,-11,-16,59,43,27,1016,1007,1000,16,16,16,58,18,72,T,4,,289
2014-1-13,8,1,-6,-11,-13,-16,46,35,23,1017,1015,1013,16,16,16,52,21,72,0.00,3,,302
2014-1-14,4,-2,-8,-5,-7,-12,88,60,32,1032,1027,1016,16,9,1,42,13,53,0.76,6,Fog-Snow,3
2014-1-15,12,3,-7,-6,-10,-12,74,48,22,1028,1022,1017,16,16,16,47,13,56,0.00,4,,261
2014-1-16,7,1,-5,-8,-11,-14,68,47,25,1028,1023,1017,16,16,16,37,18,45,0.00,4,,44
2014-1-17,11,2,-7,-9,-11,-13,74,46,17,1025,1021,1016,16,16,16,32,13,39,0.00,1,,270
2014-1-18,11,3,-6,-8,-11,-13,65,41,17,1026,1022,1019,16,16,16,27,8,31,0.00,0,,182
2014-1-19,17,7,-3,-10,-15,-18,40,25,10,1019,1016,1013,16,16,16,27,14,34,0.00,1,,250
2014-1-20,7,2,-4,-8,-11,-15,68,45,21,1031,1025,1013,16,16,16,39,13,52,0.00,1,,105
